ID,Name,Phone,Room,Hostel
1,Neha Ghosh,9544638571,204,AH-3
2,Anjali Singh,6451037234,208,AH-2
3,Amit Bajaj,8756965243,302,AH-2
4,Ramesh Nair,6485353843,212,AH-1
5,Vikram Joshi,9447538496,110,AH-1
6,Rahul Bajaj,9967051393,311,AH-2
7,Manit Singh,9288962993,207,AH-1
8,Ramesh Singh,7166622451,116,AH-1
9,Bhavya Tanwar,8273703386,116,AH-3
10,Anjali Sharma,7229048970,301,AH-3
11,Ramesh Singh,8133339887,214,AH-3
12,Anjali Iyer,9131367980,205,AH-4
13,Kiran Bajaj,7638036735,308,AH-3
14,Kiran Sharma,8101937567,201,AH-3
15,Ramesh Verma,9490186206,118,AH-4
16,Neha Sharma,6002989784,113,AH-3
17,Kiran Khaitan,8885421947,310,AH-2
18,Manit Ghosh,7295262255,314,AH-3
19,Ananya Bajaj,8847991256,112,AH-3
20,Ramesh Khaitan,6203212644,317,AH-3
21,Rahul Dudhiyawala,9647322752,310,AH-3
22,Amit Ghosh,8698893232,302,AH-4
23,Vikram Kumar,6892229308,312,AH-2
24,Vikram Verma,9200680507,120,AH-3
25,Deepak Patel,8845511095,318,AH-1
26,Rahul Bajaj,7741154176,301,AH-2
27,Kiran Singh,8668574338,103,AH-3
28,Deepak Das,9997933026,107,AH-2
29,Abbas Sharma,6068627786,305,AH-2
30,Rahul Verma,9658603071,202,AH-3
31,Deepak Ruparelia,6137135006,103,AH-4
32,Priya Singh,6413597524,106,AH-1
33,Deepak Tanwar,9038020440,303,AH-3
34,Abbas Khaitan,7598202857,301,AH-1
35,Bhavya Ghosh,7058240534,107,AH-4
36,Ananya Patel,7478956930,204,AH-2
37,Priya Ghosh,6349744198,209,AH-3
38,Neha Patel,9728180924,216,AH-3
39,Bhavya Iyer,8063940390,314,AH-2
40,Kiran Patel,7535351031,101,AH-1
41,Ananya Singh,8533226584,216,AH-4
42,Amit Iyer,9103692675,306,AH-3
43,Anjali Nair,9007416539,320,AH-1
44,Vikram Ghosh,6100538309,311,AH-3
45,Abbas Ruparelia,8649225196,111,AH-4
46,Ananya Iyer,6549628750,110,AH-3
47,Sanjay Sharma,7032790157,305,AH-1
48,Vikram Khaitan,6540883264,120,AH-4
